date,latitude,longitude,timezone,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMinTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,offset
2008-01-01,37.869,-122.2704,America/Los_Angeles,1199174400,Partly cloudy until evening.,partly-cloudy-day,1199201159,1199235688,0.79,0,0,0,53.49,1199228400,41.23,1199286000,53.49,1199228400,41.23,1199286000,35.78,0.66,1023.61,3.31,12.74,1199185200,57,0.19,2,1199214000,9.74,41.1,1199199600,53.49,1199199600,38.89,1199199600,53.49,1199228400,-8
2008-01-02,37.869,-122.2704,America/Los_Angeles,1199260800,Partly cloudy until evening.,partly-cloudy-day,1199287567,1199322135,0.82,0,0,0,55.35,1199314800,47.05,1199347200,55.35,1199314800,47.05,1199347200,37.85,0.7,1018.57,0.58,7.53,1199300400,108,0.32,2,1199300400,8.89,41.23,1199286000,55.35,1199286000,41.23,1199286000,55.35,1199314800,-8
date,latitude,longitude,timezone,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMinTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,offset
2008-01-01,37.869,-122.2704,America/Los_Angeles,1199174400,Partly cloudy until evening.,partly-cloudy-day,1199201159,1199235688,0.79,0,0,0,53.49,1199228400,41.23,1199286000,53.49,1199228400,41.23,1199286000,35.78,0.66,1023.61,3.31,12.74,1199185200,57,0.19,2,1199214000,9.74,41.1,1199199600,53.49,1199199600,38.89,1199199600,53.49,1199228400,-8
2008-01-02,37.869,-122.2704,America/Los_Angeles,1199260800,Partly cloudy until evening.,partly-cloudy-day,1199287567,1199322135,0.82,0,0,0,55.35,1199314800,47.05,1199347200,55.35,1199314800,47.05,1199347200,37.85,0.7,1018.57,0.58,7.53,1199300400,108,0.32,2,1199300400,8.89,41.23,1199286000,55.35,1199286000,41.23,1199286000,55.35,1199314800,-8
2008-01-03,37.869,-122.2704,America/Los_Angeles,1199347200,"Rain starting in the afternoon, continuing until evening.",rain,1199373972,1199408584,0.85,0.0185,0.0964,0.93,56.05,1199390400,51.56,1199419200,56.05,1199390400,51.56,1199419200,44.93,0.79,1013.73,5.39,20.78,1199394000,157,0.85,2,1199386800,8.72,47.05,1199347200,56.05,1199347200,47.05,1199347200,56.05,1199390400,-8
2008-01-04,37.869,-122.2704,America/Los_Angeles,1199433600,Heavy rain until evening.,rain,1199460376,1199495034,0.88,0.095,0.3044,0.95,56.21,1199476800,46.48,1199545200,56.21,1199476800,43.71,1199548800,48.27,0.87,1002.41,7.54,32.42,1199476800,187,0.87,2,1199473200,6.22,49.63,1199516400,56.21,1199516400,47.13,1199516400,56.21,1199476800,-8
2008-01-05,37.869,-122.2704,America/Los_Angeles,1199520000,Rain in the afternoon and evening.,rain,1199546778,1199581485,0.91,0.0223,0.1574,0.92,50.35,1199556000,41.76,1199628000,50.35,1199556000,41.76,1199628000,42.34,0.82,1008.04,4.4,19.04,1199559600,193,0.64,2,1199559600,9.07,46.46,1199584800,50.35,1199584800,43.29,1199602800,50.35,1199556000,-8
2008-01-06,37.869,-122.2704,America/Los_Angeles,1199606400,Mostly cloudy throughout the day.,partly-cloudy-day,1199633177,1199667938,0.94,0.0022,0.0103,0.56,50.7,1199653200,42.52,1199721600,50.7,1199653200,42.52,1199721600,40.19,0.8,1011.78,2,12.32,1199610000,194,0.67,2,1199646000,10,41.76,1199628000,50.7,1199628000,41.76,1199628000,50.7,1199653200,-8
2008-01-07,37.869,-122.2704,America/Los_Angeles,1199692800,Mostly cloudy until afternoon.,partly-cloudy-day,1199719575,1199754392,0.97,0.0014,0.009,0.53,50.96,1199743200,42.25,1199797200,50.96,1199743200,40.8,1199804400,38.95,0.78,1018.9,1.93,10.87,1199743200,258,0.54,2,1199732400,10,42.52,1199721600,50.96,1199721600,42.52,1199721600,50.96,1199743200,-8
2008-01-08,37.869,-122.2704,America/Los_Angeles,1199779200,Rain until evening.,rain,1199805971,1199840847,0.01,0.013,0.0789,0.91,50.2,1199844000,44.99,1199890800,50.2,1199844000,44.99,1199890800,41.93,0.84,1019.48,4.13,21.03,1199818800,164,0.79,2,1199818800,9.23,42.25,1199797200,50.2,1199797200,40.8,1199804400,50.2,1199844000,-8
2008-01-09,37.869,-122.2704,America/Los_Angeles,1199865600,Mostly cloudy throughout the day.,partly-cloudy-day,1199892364,1199927303,0.04,0.0001,0.0006,0.09,48.76,1199919600,46.62,1199962800,48.76,1199919600,46.62,1199962800,44.49,0.91,1024.46,0.75,4.8,1199948400,350,0.92,2,1199905200,6.41,44.99,1199890800,48.76,1199890800,44.99,1199890800,48.76,1199919600,-8
2008-01-10,37.869,-122.2704,America/Los_Angeles,1199952000,Foggy overnight.,fog,1199978756,1200013760,0.07,0.0041,0.0099,0.72,49.87,1200006000,48.65,1200067200,49.87,1200006000,48.65,1200067200,46.32,0.92,1023.84,0.75,5.03,1200006000,48,1,2,1199991600,4.59,46.62,1199962800,49.87,1199962800,46.62,1199962800,49.87,1200006000,-8
2008-01-11,37.869,-122.2704,America/Los_Angeles,1200038400,Foggy in the morning.,fog,1200065145,1200100218,0.11,0.0002,0.0011,0.19,51.79,1200092400,46.43,1200142800,51.79,1200092400,46.43,1200142800,46.57,0.9,1023.92,2.07,7.77,1200106800,24,0.93,2,1200078000,6.05,47.78,1200121200,51.79,1200121200,47.78,1200121200,51.79,1200092400,-8
2008-01-12,37.869,-122.2704,America/Los_Angeles,1200124800,Mostly cloudy until afternoon.,partly-cloudy-day,1200151533,1200186677,0.14,0,0.0005,0,55.75,1200178800,44.75,1200240000,55.75,1200178800,44.75,1200240000,44.49,0.82,1025.16,1.73,8.04,1200178800,24,0.49,2,1200164400,8.16,46.43,1200142800,55.75,1200142800,46.43,1200142800,55.75,1200178800,-8
2008-01-13,37.869,-122.2704,America/Los_Angeles,1200211200,Partly cloudy in the morning.,partly-cloudy-night,1200237918,1200273137,0.18,0.0001,0.0006,0.07,57.2,1200265200,43.27,1200326400,57.2,1200265200,42.14,1200322800,42.66,0.78,1025.7,2.55,10.51,1200254400,21,0.18,2,1200250800,9.51,44.75,1200240000,57.2,1200240000,44.75,1200240000,57.2,1200265200,-8
2008-01-14,37.869,-122.2704,America/Los_Angeles,1200297600,Partly cloudy until evening.,partly-cloudy-day,1200324302,1200359598,0.22,0,0,0,55.03,1200351600,41.43,1200409200,55.03,1200351600,41.43,1200409200,42.81,0.81,1026.34,2.36,10.26,1200344400,20,0.39,2,1200337200,6.36,43.27,1200326400,55.03,1200326400,42.14,1200322800,55.03,1200351600,-8
2008-01-15,37.869,-122.2704,America/Los_Angeles,1200384000,Foggy until afternoon.,fog,1200410683,1200446059,0.25,0,0.0003,0,53.36,1200441600,43.17,1200495600,53.36,1200441600,43.17,1200495600,40.98,0.83,1024,1.02,8.89,1200434400,341,0.49,2,1200423600,3.98,41.43,1200409200,53.36,1200409200,41.43,1200409200,53.36,1200441600,-8
2008-01-16,37.869,-122.2704,America/Los_Angeles,1200470400,Partly cloudy until evening.,partly-cloudy-day,1200497063,1200532522,0.29,0,0,0,57.52,1200520800,44.91,1200585600,57.52,1200520800,44.91,1200585600,23.22,0.38,1019.97,3.33,16.29,1200513600,49,0.22,2,1200510000,10,43.17,1200495600,57.52,1200495600,43.17,1200495600,57.52,1200520800,-8
2008-01-17,37.869,-122.2704,America/Los_Angeles,1200556800,Clear throughout the day.,clear-day,1200583441,1200618985,0.33,0,0,0,56.54,1200607200,41.29,1200668400,56.54,1200607200,41.29,1200668400,25.87,0.41,1021.97,1.7,16.5,1200560400,57,0.03,3,1200600000,10,44.21,1200639600,56.54,1200639600,44.21,1200639600,56.54,1200607200,-8
2008-01-18,37.869,-122.2704,America/Los_Angeles,1200643200,Clear throughout the day.,clear-day,1200669816,1200705449,0.37,0,0,0,58.13,1200693600,40.52,1200754800,58.13,1200693600,40.52,1200754800,32.9,0.56,1022.46,1.66,11.87,1200679200,36,0,3,1200686400,10,41.29,1200668400,58.13,1200668400,41.29,1200668400,58.13,1200693600,-8
2008-01-19,37.869,-122.2704,America/Los_Angeles,1200729600,"Partly cloudy starting in the afternoon, continuing until evening.",partly-cloudy-day,1200756190,1200791913,0.4,0,0,0,57.56,1200787200,44.24,1200819600,57.56,1200787200,42.9,1200819600,35.31,0.63,1024.1,0.73,5.91,1200780000,328,0.07,3,1200772800,8.45,40.52,1200754800,57.56,1200754800,40.52,1200754800,57.56,1200787200,-8
2008-01-20,37.869,-122.2704,America/Los_Angeles,1200816000,Mostly cloudy until evening.,partly-cloudy-day,1200842562,1200878378,0.44,0,0,0,51.02,1200866400,41.64,1200931200,51.02,1200866400,40.61,1200906000,38.24,0.73,1015.49,5.23,19.11,1200870000,271,0.59,2,1200855600,9.34,42.91,1200898800,51.02,1200898800,41.22,1200898800,51.02,1200866400,-8
2008-01-21,37.869,-122.2704,America/Los_Angeles,1200902400,Light rain starting in the afternoon.,rain,1200928932,1200964843,0.48,0.0131,0.0467,0.87,46.06,1200949200,40.61,1200999600,44.29,1200949200,37.39,1201017600,38.46,0.83,1014.48,1.94,10.52,1200942000,165,0.82,2,1200942000,9.74,41.64,1200931200,46.06,1200931200,40.61,1200906000,44.29,1200949200,-8
2008-01-22,37.869,-122.2704,America/Los_Angeles,1200988800,Light rain overnight.,rain,1201015300,1201051309,0.51,0.0064,0.0338,0.7,43.85,1201028400,40.47,1201100400,41.86,1201028400,37.74,1201096800,38.12,0.87,1017.34,4.29,12.61,1201032000,44,0.97,2,1201028400,9.83,40.61,1200999600,43.85,1200999600,37.39,1201017600,41.86,1201028400,-8
2008-01-23,37.869,-122.2704,America/Los_Angeles,1201075200,Light rain in the morning.,rain,1201101666,1201137776,0.55,0.0086,0.0307,0.84,44.3,1201125600,41.37,1201186800,43.07,1201143600,37.46,1201186800,38.57,0.87,1013.96,3.15,8.52,1201114800,49,0.98,2,1201114800,9.81,40.47,1201100400,44.3,1201100400,37.74,1201096800,43.07,1201143600,-8
2008-01-24,37.869,-122.2704,America/Los_Angeles,1201161600,Light rain in the afternoon.,rain,1201188031,1201224242,0.58,0.0081,0.04,0.83,44.68,1201219200,41.92,1201233600,41.36,1201215600,38.62,1201233600,38.45,0.85,1007.59,5.43,15.49,1201204800,135,0.89,2,1201201200,9.84,41.37,1201186800,44.68,1201186800,37.46,1201186800,42.07,1201161600,-8
2008-01-25,37.869,-122.2704,America/Los_Angeles,1201248000,Rain throughout the day.,rain,1201274393,1201310709,0.61,0.0736,0.2059,0.91,51.38,1201316400,51.25,1201323600,51.38,1201316400,51.25,1201323600,44.35,0.84,1009.24,6.02,16.43,1201291200,124,0.97,2,1201287600,7.76,43.78,1201248000,51.66,1201248000,40.22,1201248000,51.66,1201330800,-8
2008-01-26,37.869,-122.2704,America/Los_Angeles,1201334400,Rain overnight.,rain,1201360754,1201397176,0.65,0.0086,0.0668,0.88,59.49,1201384800,49.96,1201424400,59.49,1201384800,47.28,1201424400,43.11,0.66,1012.9,4.35,16.31,1201352400,122,0.81,2,1201374000,10,50.81,1201417200,59.49,1201417200,50.81,1201417200,59.49,1201384800,-8
2008-01-27,37.869,-122.2704,America/Los_Angeles,1201420800,Rain starting in the evening.,rain,1201447113,1201483644,0.68,0.025,0.1017,0.91,53.53,1201467600,40.81,1201536000,53.53,1201467600,38.21,1201532400,45.6,0.83,1002.33,3.54,19.97,1201496400,171,0.95,2,1201460400,9.08,43.75,1201503600,53.53,1201503600,39.07,1201500000,53.53,1201467600,-8
2008-01-28,37.869,-122.2704,America/Los_Angeles,1201507200,Partly cloudy until evening.,partly-cloudy-day,1201533471,1201570112,0.71,0.0025,0.0105,0.6,49.36,1201561200,37.77,1201608000,47.52,1201561200,37.77,1201608000,35.61,0.73,1017.3,4.18,13.87,1201546800,279,0.49,3,1201550400,10,39.98,1201590000,49.36,1201590000,38.21,1201532400,47.52,1201561200,-8
2008-01-29,37.869,-122.2704,America/Los_Angeles,1201593600,Light rain starting in the afternoon.,rain,1201619826,1201656579,0.74,0.0051,0.0316,0.8,47.28,1201654800,39.82,1201708800,44.14,1201654800,39.82,1201708800,37.63,0.82,1024.27,2.45,15.27,1201651200,225,0.65,2,1201633200,9.38,37.77,1201608000,47.28,1201608000,37.77,1201608000,44.14,1201654800,-8
2008-01-30,37.869,-122.2704,America/Los_Angeles,1201680000,Partly cloudy throughout the day.,partly-cloudy-day,1201706180,1201743047,0.77,0.0023,0.0215,0.75,51.35,1201734000,42.96,1201762800,51.35,1201734000,42.96,1201762800,37.57,0.76,1027.09,2.06,10.13,1201741200,279,0.55,3,1201723200,9.95,39.82,1201708800,51.35,1201708800,39.82,1201708800,51.35,1201734000,-8
2008-01-31,37.869,-122.2704,America/Los_Angeles,1201766400,"Rain starting in the afternoon, continuing until evening.",rain,1201792532,1201829515,0.8,0.0255,0.1409,0.9,50.33,1201820400,38.8,1201878000,50.33,1201820400,38.8,1201878000,42.56,0.84,1025.29,4.02,19.13,1201816800,192,0.98,2,1201806000,8.84,43.4,1201766400,50.33,1201766400,43.4,1201766400,50.33,1201820400,-8
2008-02-01,37.869,-122.2704,America/Los_Angeles,1201852800,Partly cloudy until evening.,partly-cloudy-day,1201878883,1201915983,0.83,0.0008,0.0029,0.25,50.41,1201899600,39.73,1201950000,50.41,1201899600,39.73,1201950000,38.1,0.78,1024.35,2.52,9.63,1201903200,281,0.31,3,1201896000,10,38.8,1201878000,50.41,1201878000,38.8,1201878000,50.41,1201899600,-8
2008-02-02,37.869,-122.2704,America/Los_Angeles,1201939200,Rain starting in the afternoon.,rain,1201965232,1202002451,0.86,0.0274,0.0813,0.89,47.86,1201986000,46.97,1202050800,44.52,1201986000,43.3,1202047200,40.76,0.85,1018.27,4.19,18.57,1202007600,178,0.78,2,1201978800,8.04,39.73,1201950000,51.08,1201950000,39.73,1201950000,51.08,1202022000,-8
2008-02-03,37.869,-122.2704,America/Los_Angeles,1202025600,Light rain in the morning.,rain,1202051579,1202088919,0.89,0.0079,0.0461,0.82,50.23,1202072400,39.77,1202137200,50.23,1202072400,36.83,1202137200,41.84,0.78,1010.22,7.29,19.61,1202072400,280,0.64,3,1202068800,9.73,45.17,1202108400,51.74,1202108400,42.54,1202104800,51.74,1202025600,-8
2008-02-04,37.869,-122.2704,America/Los_Angeles,1202112000,Clear throughout the day.,clear-day,1202137925,1202175387,0.92,0,0.0003,0,54.01,1202166000,38.85,1202223600,54.01,1202166000,38.85,1202223600,30.58,0.56,1021.24,4.85,15.95,1202155200,333,0.04,3,1202151600,10,39.77,1202137200,54.01,1202137200,36.83,1202137200,54.01,1202166000,-8
2008-02-05,37.869,-122.2704,America/Los_Angeles,1202198400,Mostly cloudy overnight.,partly-cloudy-night,1202224269,1202261855,0.95,0,0,0,54.77,1202252400,45.16,1202299200,54.77,1202252400,44.03,1202284800,31.8,0.57,1027.17,1.31,9.19,1202238000,290,0.15,3,1202238000,10,38.85,1202223600,54.77,1202223600,38.85,1202223600,54.77,1202252400,-8
2008-02-06,37.869,-122.2704,America/Los_Angeles,1202284800,Mostly cloudy until evening.,partly-cloudy-day,1202310612,1202348323,0.99,0,0.0004,0,54,1202338800,41.7,1202392800,54,1202338800,41.7,1202392800,42.15,0.79,1028.17,2.4,11.42,1202284800,262,0.55,3,1202328000,10,44.89,1202367600,54,1202367600,44.03,1202284800,54,1202338800,-8
2008-02-07,37.869,-122.2704,America/Los_Angeles,1202371200,Partly cloudy starting in the afternoon.,partly-cloudy-night,1202396953,1202434791,0.02,0,0,0,57.76,1202421600,43.19,1202482800,57.76,1202421600,43.19,1202482800,41.91,0.78,1026.95,1.66,12.29,1202425200,269,0.24,3,1202410800,9.95,41.7,1202392800,57.76,1202392800,41.7,1202392800,57.76,1202421600,-8
2008-02-08,37.869,-122.2704,America/Los_Angeles,1202457600,Foggy in the morning.,fog,1202483293,1202521258,0.06,0.0001,0.0006,0.08,61.19,1202515200,46.6,1202565600,61.19,1202515200,46.6,1202565600,41.15,0.73,1024.39,0.73,7.37,1202511600,350,0.48,3,1202497200,6.17,43.19,1202482800,61.19,1202482800,43.19,1202482800,61.19,1202515200,-8
2008-02-09,37.869,-122.2704,America/Los_Angeles,1202544000,"Partly cloudy starting in the afternoon, continuing until evening.",partly-cloudy-day,1202569631,1202607725,0.09,0,0,0,64.36,1202598000,46.31,1202659200,64.36,1202598000,46.31,1202659200,38.28,0.55,1021.58,1.67,10.92,1202594400,10,0.13,4,1202587200,10,46.6,1202565600,64.36,1202565600,46.6,1202565600,64.36,1202598000,-8
2008-02-10,37.869,-122.2704,America/Los_Angeles,1202630400,Clear throughout the day.,clear-day,1202655968,1202694192,0.13,0,0,0,65.19,1202684400,46.55,1202742000,65.19,1202684400,46.55,1202742000,42.45,0.66,1021.84,1.03,7.56,1202673600,336,0.12,4,1202673600,10,46.31,1202659200,65.19,1202659200,46.31,1202659200,65.19,1202684400,-8
2008-02-11,37.869,-122.2704,America/Los_Angeles,1202716800,Partly cloudy until afternoon.,partly-cloudy-day,1202742304,1202780659,0.16,0,0,0,65.79,1202770800,46.97,1202828400,65.79,1202770800,46.97,1202828400,44.22,0.7,1021.76,1.01,7.48,1202760000,323,0.13,3,1202756400,9.83,46.55,1202742000,65.79,1202742000,46.55,1202742000,65.79,1202770800,-8
2008-02-12,37.869,-122.2704,America/Los_Angeles,1202803200,Clear throughout the day.,clear-day,1202828638,1202867125,0.2,0,0,0,66.37,1202860800,47.45,1202904000,66.37,1202860800,47.45,1202904000,43.69,0.68,1019.96,1.12,9.9,1202853600,329,0.07,4,1202846400,9.66,46.97,1202828400,66.37,1202828400,46.97,1202828400,66.37,1202860800,-8
2008-02-13,37.869,-122.2704,America/Los_Angeles,1202889600,Mostly cloudy until afternoon.,partly-cloudy-day,1202914971,1202953592,0.24,0,0,0,61.41,1202943600,47.14,1203001200,61.41,1202943600,42.98,1203001200,33.56,0.55,1014.42,3.95,20.94,1202968800,337,0.37,4,1202932800,8.97,47.45,1202904000,61.41,1202904000,47.45,1202904000,61.41,1202943600,-8
2008-02-14,37.869,-122.2704,America/Los_Angeles,1202976000,Clear throughout the day.,clear-day,1203001303,1203040058,0.28,0,0,0,59.62,1203033600,44.51,1203084000,59.62,1203033600,44.51,1203084000,20.45,0.29,1017.42,6.19,18.89,1203012000,1,0.07,4,1203019200,10,47.14,1203001200,59.62,1203001200,42.98,1203001200,59.62,1203033600,-8
2008-02-15,37.869,-122.2704,America/Los_Angeles,1203062400,Partly cloudy overnight.,partly-cloudy-night,1203087633,1203126523,0.31,0,0.0003,0,60.62,1203112800,42.15,1203174000,60.62,1203112800,42.15,1203174000,31.6,0.49,1020.6,1.25,9.07,1203116400,274,0.02,4,1203105600,10,44.51,1203084000,60.62,1203084000,44.51,1203084000,60.62,1203112800,-8
2008-02-16,37.869,-122.2704,America/Los_Angeles,1203148800,Partly cloudy in the morning.,partly-cloudy-day,1203173962,1203212988,0.35,0,0,0,60.45,1203206400,43.71,1203260400,60.45,1203206400,43.71,1203260400,39.68,0.71,1023.04,1.04,7.64,1203210000,296,0.26,4,1203192000,8.67,42.15,1203174000,60.45,1203174000,42.15,1203174000,60.45,1203206400,-8
2008-02-17,37.869,-122.2704,America/Los_Angeles,1203235200,Mostly cloudy until afternoon.,partly-cloudy-day,1203260290,1203299453,0.39,0,0,0,55.89,1203285600,46.27,1203321600,55.89,1203285600,46.27,1203321600,41.87,0.79,1020.79,1.84,10.71,1203296400,254,0.5,4,1203282000,8.11,43.71,1203260400,55.89,1203260400,43.71,1203260400,55.89,1203285600,-8
2008-02-18,37.869,-122.2704,America/Los_Angeles,1203321600,Mostly cloudy throughout the day.,partly-cloudy-day,1203346617,1203385918,0.42,0,0,0,55.52,1203372000,47.69,1203433200,55.52,1203372000,46.17,1203393600,42.46,0.78,1018.67,2.25,9.75,1203382800,247,0.79,4,1203368400,9.08,46.27,1203321600,55.52,1203321600,46.17,1203393600,55.52,1203372000,-8
2008-02-19,37.869,-122.2704,America/Los_Angeles,1203408000,Rain starting in the evening.,rain,1203432943,1203472382,0.46,0.0205,0.1479,0.88,52.97,1203465600,47.44,1203519600,52.97,1203465600,47.44,1203519600,45.58,0.85,1019.03,2.14,9.04,1203426000,208,0.99,3,1203447600,8.38,47.69,1203433200,52.97,1203433200,46.8,1203408000,52.97,1203465600,-8
2008-02-20,37.869,-122.2704,America/Los_Angeles,1203494400,Mostly cloudy throughout the day.,partly-cloudy-day,1203519267,1203558846,0.49,0.003,0.0297,0.55,55.84,1203548400,46.29,1203584400,55.84,1203548400,46.18,1203602400,44.96,0.82,1017.79,1.55,7.75,1203555600,243,0.62,4,1203537600,10,46.29,1203577200,55.84,1203577200,46.29,1203577200,55.84,1203548400,-8
2008-02-21,37.869,-122.2704,America/Los_Angeles,1203580800,Light rain until afternoon.,rain,1203605591,1203645310,0.53,0.0065,0.0443,0.9,53.87,1203638400,46.67,1203696000,53.87,1203638400,46.67,1203696000,44.8,0.83,1011.54,3.5,14.46,1203634800,148,0.85,3,1203620400,9.53,46.29,1203584400,53.87,1203584400,46.18,1203602400,53.87,1203638400,-8
2008-02-22,37.869,-122.2704,America/Los_Angeles,1203667200,Light rain in the morning.,rain,1203691914,1203731773,0.56,0.0054,0.0405,0.86,52.39,1203721200,42.36,1203771600,52.39,1203721200,41.69,1203782400,43.41,0.82,1012.5,3,11.76,1203739200,252,0.75,3,1203706800,9.61,44.84,1203750000,52.39,1203750000,44.84,1203750000,52.39,1203721200,-8
2008-02-23,37.869,-122.2704,America/Los_Angeles,1203753600,"Rain starting in the afternoon, continuing until evening.",rain,1203778235,1203818236,0.59,0.0107,0.0661,0.89,50.58,1203800400,48.58,1203825600,50.58,1203800400,44.79,1203825600,41.19,0.82,1011.61,4.62,19.88,1203822000,138,0.65,3,1203793200,9.48,42.36,1203771600,50.58,1203771600,41.69,1203782400,50.58,1203800400,-8
2008-02-24,37.869,-122.2704,America/Los_Angeles,1203840000,Rain until afternoon.,rain,1203864556,1203904698,0.62,0.0164,0.0578,0.85,54.65,1203886800,46.6,1203951600,54.65,1203886800,46.6,1203951600,47.18,0.83,1013.27,7.06,23.77,1203879600,201,0.92,3,1203879600,8.21,50.27,1203922800,54.65,1203922800,50.27,1203922800,54.65,1203886800,-8
2008-02-25,37.869,-122.2704,America/Los_Angeles,1203926400,Mostly cloudy until evening.,partly-cloudy-day,1203950875,1203991160,0.65,0.0002,0.0012,0.1,58.22,1203984000,44.71,1204034400,58.22,1203984000,44.71,1204034400,44.95,0.79,1026.72,1.17,7.88,1203969600,305,0.58,4,1203966000,9.54,46.6,1203951600,58.22,1203951600,46.6,1203951600,58.22,1203984000,-8
